order_approved_at,total_spend,month_cat
"Sep , 16",134,
"Oct , 16",51201,
"Nov , 16",0,
"Dec , 16",10,
"Jan , 17",124313,
"Feb , 17",262281,
"Mar , 17",394384,
"Apr , 17",390306,
"May , 17",550323,
"Jun , 17",461045,
"Jul , 17",531342,
"Aug , 17",605325,
"Sep , 17",654698,
"Oct , 17",704026,
"Nov , 17",1039022,
"Dec , 17",795824,
"Jan , 18",986284,
"Feb , 18",882417,
"Mar , 18",1039716,
"Apr , 18",1010481,
"May , 18",1056093,
"Jun , 18",914410,
"Jul , 18",908431,
"Aug , 18",909806,
"Sep , 18",145,
