product_category_name_english,order_approved_at,product_id
health_beauty,"Sep , 16",3
furniture_decor,"Oct , 16",81
fashion_bags_accessories,"Dec , 16",1
furniture_decor,"Jan , 17",204
furniture_decor,"Feb , 17",270
furniture_decor,"Mar , 17",358
bed_bath_table,"Apr , 17",304
bed_bath_table,"May , 17",437
bed_bath_table,"Jun , 17",436
bed_bath_table,"Jul , 17",638
bed_bath_table,"Aug , 17",590
bed_bath_table,"Sep , 17",574
bed_bath_table,"Oct , 17",614
bed_bath_table,"Nov , 17",1016
bed_bath_table,"Dec , 17",602
bed_bath_table,"Jan , 18",897
computers_accessories,"Feb , 18",1034
bed_bath_table,"Mar , 18",841
bed_bath_table,"Apr , 18",771
health_beauty,"May , 18",829
health_beauty,"Jun , 18",896
health_beauty,"Jul , 18",800
health_beauty,"Aug , 18",893
kitchen_dining_laundry_garden_furniture,"Sep , 18",1
